Requirement ID,Record Type,Source Document,Section / Table Location,Title,Required Behaviour & Acceptance Criteria,Implementation Code Files,Acceptance Test File,Specific Test Name / Procedure,Verification Evidence (Commit: 4bac6fa),Status,Human Approval Gate
GEN-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,"The tree shall display navigable parents, grandparents, spouses, children, siblings, descendants and extended relatives.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,The family tree shall use progressive expansion/lazy loading for large genealogy networks.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-011,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,The system shall support family branches and generations.,Admin/Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-012,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,"Verified branches shall be connectable through approved shared ancestry, marriage or supported connection.",Super Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-013,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,Genealogy facts shall retain source/provenance metadata.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-014,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,A member shall be able to request recording a death.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-015,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,Approved death record shall update life status and trigger dependent calendar/Jutho workflows.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-016,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,Authorized administrators shall create/edit Person records directly only with justification and full audit.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-017,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,Erroneous Person records shall be archived/deactivated rather than casually hard-deleted.,Super Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
GEN-FR-018,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.3 Genealogy Person and Family Tree,Authorized governance roles shall export genealogy data subject to privacy filtering.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Search shall find People by Nepali/English name and normalized spelling variants.,Member/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,"Person search shall support branch, generation, location and life-status filters.",Member/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Search responses shall contain only viewer-permitted data.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Search shall identify possible existing People during claim/new-Person flows.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,"Search shall support cultural content, events and community content in their respective modules.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Search shall support transliteration/alias normalization without altering source names.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Search APIs shall paginate and sort deterministically.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
SRCH-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.4 Genealogy Search and Discovery,Admin search shall support exact Person/User/Request ID lookup.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,A registered member shall search the genealogy before requesting a new Person.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,A member shall submit a claim for an existing Person.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,The member shall attach approved supporting evidence or family context.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Submitted claim shall enter a governed review workflow.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Authorized verifier shall approve a valid claim within assigned scope.,Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Authorized verifier shall reject a claim with reason.,Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Verifier shall request correction/additional evidence.,Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Out-of-scope/disputed claim shall be escalatable to Super Admin.,Verifier/Super Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,The system shall detect conflicting active claims.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Member shall see claim status and reviewer feedback.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-011,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Claim decisions shall trigger in-app/push notification according to preference.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CLAIM-FR-012,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.5 Profile Claiming,Every claim transition shall be auditable.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request adding a parent.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request adding a spouse.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request adding a child.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request another supported family connection.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request correcting Person information.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall request recording a death.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall attach evidence to a genealogy request.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Verifier shall see before/after and graph-impact preview.,Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,"Verifier shall approve, reject or request correction.",Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Approved genealogy change shall apply atomically.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-011,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Rejected/correction-requested changes shall not mutate trusted genealogy.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-012,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,"Sensitive, cross-branch or duplicate-related requests shall route to Super Admin when required.",System/Verifier,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-013,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Member shall see history and status of own requests.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-014,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Approved change may notify affected followers according to policy/preferences.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CHG-FR-015,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.6 Genealogy Change Requests and Verification,Every genealogy request and decision shall retain full audit history and evidence references.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,The system shall evaluate duplicate candidates before manual or imported Person creation.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,"Duplicate scoring shall consider names/aliases, parents, spouse, dates, branch, generation and location where available.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Potential duplicates shall enter an administrative review queue.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Authorized admin shall mark candidates as not duplicates.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Authorized admin shall merge confirmed duplicates into a canonical Person.,Super Admin/Delegated Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,"Merge shall preserve direct relationships, provenance, source references and prior IDs.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Conflicting fields shall require explicit resolution before merge commit.,Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Merged source IDs shall remain administratively traceable to canonical Person.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
DUP-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.7 Duplicate Detection and Merge,Merge action shall be fully audited.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The system shall derive indirect relationships from verified direct links only.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,"The engine shall calculate parent, child, sibling, grandparent and grandchild relationships.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The engine shall calculate cousin degree/removal from common-ancestor paths where applicable.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The engine shall calculate spouse/affinal relationship paths.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Relationship shall be displayed relative to the logged-in or selected Person.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The engine shall support approved Nepali Nata/Saino terminology.,System/Religious Representative,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The engine shall provide English relationship terminology.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,The system shall expose a relationship-path explanation where permitted.,Member/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Multiple valid paths shall produce a deterministic canonical display while retaining alternatives for administrative review.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Interactive relationship search shall enforce maximum traversal depth and resource limits.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-011,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Relationship caches/results shall invalidate when relevant verified links change.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-012,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Unsupported path shall not receive invented cultural terminology.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
REL-FR-013,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.8 Relationship and Nata/Saino Engine,Relationship-rule versions shall require approval and effective-date metadata.,Religious Representative/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,"The application shall provide authoritative sections for Kashyap Rishi, Bindabasini Devi, Adhikari history, Goth Puja, Dewali/Devali, Shraddha and other approved traditions.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,Cultural content shall be managed from the administration portal and shall not require a mobile-app release for normal content updates.,Content Manager,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,"Content shall support draft, review, approved, published, archived and superseded lifecycle states.",Content Manager/Religious Representative,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,Authoritative religious/cultural content shall require approval by an assigned Community/Religious Representative before publication.,Religious Representative,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,"Content shall support structured headings, rich text, images, references, attachments and related-content links.",Content Manager,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,"Every published revision shall retain version, author, reviewer, approval, publish date and provenance.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,Published content shall support Nepali and English variants linked to the same content concept.,Content Manager,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,Superseding a cultural rule/article shall not silently overwrite historical revisions.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,"Content search shall index title, approved keywords and body text subject to publication state.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CUL-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.9 Cultural and Historical Content,Removed or unpublished content shall stop appearing in member surfaces while remaining available to authorized audit users.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","The system shall support Gregorian (AD), Bikram Sambat (BS) and Tithi-based date representations required by the business.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","Date storage shall preserve source calendar, source value, conversion metadata and confidence/provenance where applicable.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","Members shall view a family/community calendar with birthday, death/Shraddha, 84 Puja, marriage, Bratabandha, Dewali/Goth Puja, family gathering and community-event categories.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-004,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",Authorized users shall create and manage family/community events.,Authorized Member/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-005,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",The system shall derive approved recurring family reminders from verified Person/event data.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-006,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","Tithi calculation/integration shall use an approved, versioned calendar rule/source.",System/Religious Representative,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-007,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",Tithi results shall store the rule/source version used for reproducibility.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-008,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","When an authoritative Tithi cannot be calculated, the system shall display a clear unavailable/pending state rather than inventing a date.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-009,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",Members shall switch calendar display between supported representations without changing the underlying event.,Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-010,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","Calendar shall support day, month and agenda views appropriate to mobile.",Member,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-011,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi","Event visibility shall honor family, branch, invitee, community and administrative access rules.",System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-012,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",Event changes/cancellations shall notify affected invitees/followers according to preference and policy.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
CAL-FR-013,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,"8.10 Family Calendar, Dates and Tithi",Calendar conversions and recurrence logic shall be covered by signed reference-case tests.,QA/Religious Representative,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
JUT-FR-001,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.11 Jutho Calculation and Guidance,The Release 1.0 product shall implement Jutho determination from a verified deceased Person to a viewing/selected Person using approved relationship rules.,System,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
JUT-FR-002,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.11 Jutho Calculation and Guidance,Jutho rules shall be stored as versioned configuration/rule data rather than embedded as unreviewable application logic.,System/Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
JUT-FR-003,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,8.11 Jutho Calculation and Guidance,Only an approved and effective Jutho rule set may be used for authoritative member guidance.,Religious Representative/Super Admin,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
